State,Code,Name,RegisteredVoters,EligibleVoters,NoOfPollingUnits,NoOfWards,NoOfLGAs
Edo,FC/101/ED,ESAN CENTRAL/ESAN WEST/IGUEBEN,221888,187076,412,30,3
Osun,FC/292/OS,AYEDAADE/IREWOLE/ISOKAN,195143,155080,383,33,3
Osun,FC/291/OS,AYEDIRE/IWO/OLA-OLUWA,164230,133298,299,35,3
Osun,FC/290/OS,IFE CENTRAL/IFE NORTH/IFE SOUTH/IFE EAST,342905,271013,657,42,4
Osun,FC/293/OS,EDE NORTH/EDE SOUTH/EGBEDORE/EJIGBO,253420,215717,463,42,4
Zamfara,FC/358/ZF,GUMMI/BUKKUYUM,224062,211615,414,21,2
Zamfara,FC/357/ZF,BAKURA/MARADUN,217908,198506,384,20,2
Zamfara,FC/356/ZF,ANKA/TALATA MAFARA,230293,224809,423,21,2
Zamfara,FC/355/ZF,BUNGUDU/MARU,301910,299010,572,21,2
Zamfara,FC/354/ZF,GUSAU/TSAFE,482094,462193,865,22,2
Zamfara,FC/353/ZF,SHINKAFI/ZURMI,222360,222360,423,21,2
Zamfara,FC/352/ZF,KAURA NAMODA/BIRNIN MAGAJI,248243,231572,448,21,2
Yobe,FC/351/YB,NANGERE/POTISKUM,263345,252402,497,21,2
Yobe,FC/350/YB,MACHINA/NGURU/YUSUFARI/KARASUWA,270820,260339,521,40,4
Yobe,FC/349/YB,FIKA/FUNE,230404,227057,442,23,2
Yobe,FC/348/YB,DAMATURU/GUJBA/GULANI/TARMUWA,312343,301179,576,43,4
Yobe,FC/347/YB,BURSARI/GEIDAM/YUNUSARI,207338,200511,416,31,3
Yobe,FC/346/YB,BADE/JAKUSKO,200896,196377,371,20,2
Taraba,FC/345/TR,KARIM LAMIDO/LAU/ARDO-KOLA,333823,332377,585,31,3
Taraba,FC/344/TR,JALINGO/YORRO/ZING,374278,295596,658,31,3
Taraba,FC/343/TR,IBI/WUKARI,286644,219994,519,20,2
Taraba,FC/342/TR,SARDAUNA/KURMI/GASHAKA,334660,333695,637,31,3
Taraba,FC/341/TR,TAKUM/DONGA/USSA,373611,355449,602,32,3
Taraba,FC/340/TR,BALI/GASSOL,319358,288326,596,23,2
Sokoto,FC/339/SO,KEBBE/TAMBUWAL,209817,208134,372,21,2
Sokoto,FC/338/SO,YABO/SHAGARI,140859,137546,262,20,2
Sokoto,FC/337/SO,DANGE SHUNI/BODINGA/TURETA,235660,226631,457,32,3
Sokoto,FC/336/SO,SOKOTO NORTH/SOKOTO SOUTH,385772,362090,630,22,2
Sokoto,FC/335/SO,KWARE/WAMAKKO,233948,226534,412,22,2
Sokoto,FC/334/SO,BINJI/SILAME,106478,104475,186,20,2
Sokoto,FC/333/SO,TANGAZA/GUDU,121821,118429,229,20,2
Sokoto,FC/332/SO,ILLELA/GWADABAWA,193972,188889,396,22,2
Sokoto,FC/331/SO,WURNO/RABAH,131997,126705,258,22,2
Sokoto,FC/330/SO,GORONYO/GADA,213388,209524,411,22,2
Sokoto,FC/329/SO,ISA/SABON BIRNI,198344,188847,378,21,2
Rivers,FC/328/RV,PORT HARCOURT II,0,0,377,10,1
Rivers,FC/327/RV,PORT HARCOURT I,0,0,584,10,1
Rivers,FC/326/RV,OBIO/AKPOR,684812,641749,1211,17,1
Rivers,FC/325/RV,ETCHE/OMUMA,196046,182923,438,29,2
